fase,jogo,data,dia_semana,horario_brasilia,mandante,visitante,estadio,cidade,pais_sede
Fase de Grupos,Grupo A - Jogo 1,11/06/2026,Quinta,16h,México,África do Sul,Estádio Azteca,Cidade do México,México
Fase de Grupos,Grupo A - Jogo 2,11/06/2026,Quinta,23h,Coreia do Sul,Playoff Europeu D,Estadio Akron,Guadalajara,México
Fase de Grupos,Grupo B - Jogo 1,12/06/2026,Sexta,16h,Canadá,Playoff Europeu A,BMO Field,Toronto,Canadá
Fase de Grupos,Grupo D - Jogo 1,12/06/2026,Sexta,22h,Estados Unidos,Paraguai,SoFi Stadium,Los Angeles,EUA
Fase de Grupos,Grupo D - Jogo 2,13/06/2026,Sábado,01h,Austrália,Playoff Europeu C,BC Place,Vancouver,Canadá
Fase de Grupos,Grupo B - Jogo 2,13/06/2026,Sábado,16h,Catar,Suíça,Levi's Stadium,San Francisco,EUA
Fase de Grupos,Grupo C - Jogo 1,13/06/2026,Sábado,19h,Brasil,Marrocos,MetLife Stadium,Nova York/New Jersey,EUA
Fase de Grupos,Grupo C - Jogo 2,13/06/2026,Sábado,22h,Haiti,Escócia,Gillette Stadium,Boston,EUA
Fase de Grupos,Grupo E - Jogo 1,14/06/2026,Domingo,14h,Alemanha,Curaçao,NRG Stadium,Houston,EUA
Fase de Grupos,Grupo E - Jogo 2,14/06/2026,Domingo,20h,Costa do Marfim,Equador,Lincoln Financial Field,Filadélfia,EUA
Fase de Grupos,Grupo F - Jogo 1,14/06/2026,Domingo,17h,Holanda,Japão,AT&T Stadium,Dallas,EUA
Fase de Grupos,Grupo F - Jogo 2,14/06/2026,Domingo,23h,Playoff Europeu B,Tunísia,Estadio BBVA,Monterrey,México
Fase de Grupos,Grupo G - Jogo 1,15/06/2026,Segunda,16h,Bélgica,Egito,Lumen Field,Seattle,EUA
Fase de Grupos,Grupo G - Jogo 2,15/06/2026,Segunda,22h,Irã,Nova Zelândia,SoFi Stadium,Los Angeles,EUA
Fase de Grupos,Grupo H - Jogo 1,15/06/2026,Segunda,13h,Espanha,Cabo Verde,Mercedes-Benz Stadium,Atlanta,EUA
Fase de Grupos,Grupo H - Jogo 2,15/06/2026,Segunda,19h,Arábia Saudita,Uruguai,Hard Rock Stadium,Miami,EUA
Fase de Grupos,Grupo I - Jogo 1,16/06/2026,Terça,16h,França,Senegal,MetLife Stadium,Nova York/New Jersey,EUA
Fase de Grupos,Grupo I - Jogo 2,16/06/2026,Terça,19h,Playoff Intercontinental 2,Noruega,Gillette Stadium,Boston,EUA
Fase de Grupos,Grupo J - Jogo 1,16/06/2026,Terça,22h,Argentina,Argélia,Arrowhead Stadium,Kansas City,EUA
Fase de Grupos,Grupo J - Jogo 2,17/06/2026,Quarta,00h,Jordânia,Argélia,Levi's Stadium,San Francisco,EUA
Fase de Grupos,Grupo J - Jogo 3,17/06/2026,Quarta,01h,Áustria,Jordânia,Levi's Stadium,San Francisco,EUA
Fase de Grupos,Grupo K - Jogo 1,17/06/2026,Quarta,14h,Portugal,Playoff Intercontinental 1,NRG Stadium,Houston,EUA
Fase de Grupos,Grupo K - Jogo 2,17/06/2026,Quarta,23h,Uzbequistão,Colômbia,Estádio Azteca,Cidade do México,México
Fase de Grupos,Grupo L - Jogo 1,17/06/2026,Quarta,17h,Inglaterra,Croácia,AT&T Stadium,Dallas,EUA
Fase de Grupos,Grupo L - Jogo 2,17/06/2026,Quarta,20h,Gana,Panamá,BMO Field,Toronto,Canadá
Fase de Grupos,Grupo A - Jogo 3,18/06/2026,Quinta,13h,Playoff Europeu D,África do Sul,Mercedes-Benz Stadium,Atlanta,EUA
Fase de Grupos,Grupo A - Jogo 4,18/06/2026,Quinta,22h,México,Coreia do Sul,Estadio Akron,Guadalajara,México
Fase de Grupos,Grupo B - Jogo 3,18/06/2026,Quinta,16h,Suíça,Playoff Europeu A,SoFi Stadium,Los Angeles,EUA
Fase de Grupos,Grupo B - Jogo 4,18/06/2026,Quinta,19h,Canadá,Catar,BC Place,Vancouver,Canadá
Fase de Grupos,Grupo C - Jogo 3,19/06/2026,Sexta,19h,Escócia,Marrocos,Gillette Stadium,Boston,EUA
Fase de Grupos,Grupo C - Jogo 4,19/06/2026,Sexta,22h,Brasil,Haiti,Lincoln Financial Field,Filadélfia,EUA
Fase de Grupos,Grupo D - Jogo 3,19/06/2026,Sexta,16h,Estados Unidos,Austrália,Lumen Field,Seattle,EUA
Fase de Grupos,Grupo D - Jogo 4,20/06/2026,Sábado,01h,Playoff Europeu C,Paraguai,Levi's Stadium,San Francisco,EUA
Fase de Grupos,Grupo E - Jogo 3,20/06/2026,Sábado,17h,Alemanha,Costa do Marfim,BMO Field,Toronto,Canadá
Fase de Grupos,Grupo E - Jogo 4,20/06/2026,Sábado,21h,Equador,Curaçao,Arrowhead Stadium,Kansas City,EUA
Fase de Grupos,Grupo F - Jogo 3,20/06/2026,Sábado,14h,Holanda,Playoff Europeu B,NRG Stadium,Houston,EUA
Fase de Grupos,Grupo F - Jogo 4,21/06/2026,Domingo,01h,Tunísia,Japão,Estadio BBVA,Monterrey,México
Fase de Grupos,Grupo G - Jogo 3,21/06/2026,Domingo,16h,Bélgica,Irã,SoFi Stadium,Los Angeles,EUA
Fase de Grupos,Grupo G - Jogo 4,21/06/2026,Domingo,22h,Nova Zelândia,Egito,BC Place,Vancouver,Canadá
Fase de Grupos,Grupo H - Jogo 3,21/06/2026,Domingo,13h,Espanha,Arábia Saudita,Mercedes-Benz Stadium,Atlanta,EUA
Fase de Grupos,Grupo H - Jogo 4,21/06/2026,Domingo,19h,Uruguai,Cabo Verde,Hard Rock Stadium,Miami,EUA
Fase de Grupos,Grupo I - Jogo 3,22/06/2026,Segunda,18h,França,Playoff Intercontinental 2,Lincoln Financial Field,Filadélfia,EUA
Fase de Grupos,Grupo I - Jogo 4,22/06/2026,Segunda,21h,Noruega,Senegal,MetLife Stadium,Nova York/New Jersey,EUA
Fase de Grupos,Grupo J - Jogo 4,22/06/2026,Segunda,14h,Argentina,Áustria,AT&T Stadium,Dallas,EUA
Fase de Grupos,Grupo K - Jogo 3,23/06/2026,Terça,14h,Portugal,Uzbequistão,NRG Stadium,Houston,EUA
Fase de Grupos,Grupo K - Jogo 4,23/06/2026,Terça,23h,Colômbia,Playoff Intercontinental 1,Estadio Akron,Guadalajara,México
Fase de Grupos,Grupo L - Jogo 3,23/06/2026,Terça,17h,Inglaterra,Gana,Gillette Stadium,Boston,EUA
